invoice_id,invoice_date,vendor_id,vendor_name,currency,line_item_number,item_code,description,quantity,unit_price,line_total
INV0001,23-11-2024,V004,Vendor_4,USD,1,ITM0048,Component gadget widget device assembly,19,213.85,4063.15
INV0001,23-11-2024,V004,Vendor_4,USD,2,ITM0002,Gadget assembly widget,7,359.43,2516.01
INV0001,23-11-2024,V004,Vendor_4,USD,3,ITM0045,Module assembly component part device gadget module,9,81.96,737.64
INV0001,23-11-2024,V004,Vendor_4,USD,4,ITM0049,Widget module module module component,2,366.22,732.44
INV0001,23-11-2024,V004,Vendor_4,USD,5,ITM0035,Accessory module assembly,20,443.3,8866
INV0002,04-07-2024,V019,Vendor_19,EUR,1,ITM0046,Widget component component,3,428.38,1285.14
INV0002,04-07-2024,V019,Vendor_19,EUR,2,ITM0007,Component unit module module gadget component,3,306.52,919.56
INV0002,04-07-2024,V019,Vendor_19,EUR,3,ITM0011,Device gadget module accessory unit unit device,2,118.38,236.76
INV0002,04-07-2024,V019,Vendor_19,EUR,4,ITM0003,Module widget accessory unit device,7,329.44,2306.08
INV0002,04-07-2024,V019,Vendor_19,EUR,5,ITM0026,Gadget gadget device assembly device module,19,202.7,3851.3
INV0003,22-04-2024,V005,Vendor_5,INR,1,ITM0006,Part gadget gadget,14,300.22,4203.08
INV0003,22-04-2024,V005,Vendor_5,INR,2,ITM0025,Unit assembly component assembly accessory device,4,342.45,1369.8
INV0003,22-04-2024,V005,Vendor_5,INR,3,ITM0035,Device module component gadget widget,9,486.08,4374.72
INV0003,22-04-2024,V005,Vendor_5,INR,4,ITM0049,Assembly widget unit part,17,306.44,5209.48
INV0003,22-04-2024,V005,Vendor_5,INR,5,ITM0010,Device assembly part assembly widget,11,246.86,2715.46
INV0004,27-02-2024,V012,Vendor_12,GBP,1,ITM0016,Component unit widget,16,408.93,6542.88
INV0004,27-02-2024,V012,Vendor_12,GBP,2,ITM0049,Device gadget assembly assembly component part module,7,464.81,3253.67
INV0004,27-02-2024,V012,Vendor_12,GBP,3,ITM0049,Device module device module,17,228.49,3884.33
INV0004,27-02-2024,V012,Vendor_12,GBP,4,ITM0016,Widget widget assembly unit,1,40.14,40.14
INV0004,27-02-2024,V012,Vendor_12,GBP,5,ITM0041,Component accessory part,3,259.51,778.53
INV0005,22-05-2024,V016,Vendor_16,EUR,1,ITM0035,Device part unit component,16,404.71,6475.36
INV0005,22-05-2024,V016,Vendor_16,EUR,2,ITM0013,Widget module module,15,432.6,6489
